Model,Threshold,TP,TN,FP,FN,Accuracy,PrecisionPositive,RecallPositive,F1Positive,MacroF1,Selected
VISUAL,0.429000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.430000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.431000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.432000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.433000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.434000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.435000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.436000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.437000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.438000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.439000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.440000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.441000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.442000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.443000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.444000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.445000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.446000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.447000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.448000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.449000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.450000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.451000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.452000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.453000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.454000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.455000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.456000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.457000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.458000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.459000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.460000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.461000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.462000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.463000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.464000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.465000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.466000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.467000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.468000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.469000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.470000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.471000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.472000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.473000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.474000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.475000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.476000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.477000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.478000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.479000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.480000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.481000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.482000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
VISUAL,0.483000,5,1,2,0,0.750000,0.714286,1.000000,0.833333,0.666667,false
